,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,ISO_codes,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
tah,Tahitian,Papunesia,-17.6666666667,-149.583333333,tah,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,tah,PF,,,,,,,,,,,,,,,,2.0,2.0,,,4.0,1.0,2.0,3.0,1.0,,2.0,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,2.0,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,1.0,5.0,2.0,5.0,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,2.0,,,,,,,,,,,,,,,,9.0,2.0,6.0,,,,,,,,,,,,2.0,,1.0,1.0,2.0,3.0,5.0,,4.0,4.0,,,,,,,,,,,,3.0,,2.0,2.0,,2.0,3.0,2.0,1.0,3.0,,1.0,,1.0,,,,,2.0,3.0,2.0,1.0,4.0,4.0,4.0,,,
tai,Tuareg (Air),Africa,19.0,9.0,thv,Afro-Asiatic,,Berber,c66ff33,thv,NE,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,,2.0,,,1.0,,1.0,,,,,,6.0,,,4.0,4.0,,,,
taj,Tajik,Eurasia,38.6666666667,70.0,tgk,Indo-European,,Iranian,cff66ff,tgk,TJ,,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,7.0,8.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,4.0,1.0,,,,,,,,,,1.0,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,2.0,,1.0,2.0,2.0,2.0,,,
tak,Takia,Papunesia,-4.66666666667,146.0,tbc,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,tbc,PG,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,4.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,,,2.0,2.0,,,1.0,2.0,2.0,,,
tal,Talinga,Africa,0.416666666667,29.6666666667,tlj,Niger-Congo,Benue-Congo,Bantoid,d0000dd,tlj,CD UG,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,
tam,Tamang (Eastern),Eurasia,27.5,85.666666666667,,Sino-Tibetan,Tibeto-Burman,Bodic,fffff00,taj tge,NP,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,2.0,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,2.0,,,,2.0,,,,7.0,,,2.0,2.0,2.0,,,3.0,,,,,,,,,,,1.0,,6.0,,,,,3.0,,,,,1.0,6.0,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,2.0,2.0,4.0,1.0,1.0,1.0,,,
tan,Tangale,Africa,9.75,11.3333333333,tan,Afro-Asiatic,Chadic,West Chadic,c9999ff,tan,NG,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,6.0,,,,4.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
tao,Tarao,Eurasia,24.25,94.1666666667,tro,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,fff6600,tro,IN,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,4.0,2.0,,,,,,,,,,2.0,2.0,1.0,,,2.0,,,
tap,Taiap,Papunesia,-4.08333333333,144.5,gpn,Gapun,,Gapun,t99ffff,gpn,PG,6.0,,5.0,2.0,3.0,,,2.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,Tariana,South America,1.0,-69.1666666667,tae,Arawakan,,Inland Northern Arawakan,cdd0000,tae,BR,,2.0,,,,2.0,3.0,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,15.0,,8.0,,2.0,2.0,4.0,19.0,,,,,,,,,,,17.0,,,7.0,4.0,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,,,,,2.0,6.0,1.0,5.0,1.0,2.0,5.0,,,
tas,Tashlhiyt,Africa,31.0,-5.0,shi,Afro-Asiatic,,Berber,c66ff33,shi,MA,,,,,,,,,,,,,,,,2.0,5.0,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,7.0,,,,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,1.0,5.0,1.0,4.0,,,,,,,,,,5.0,,,,1.0,,,,6.0,,,,4.0,3.0,,,5.0,,3.0,2.0,,,,,1.0,,,4.0,,2.0,2.0,,,,,2.0,,,,3.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,7.0,,3.0,2.0,,,2.0,,4.0,,2.0,,,,,,,,,,2.0,5.0,,,,,,3.0
tat,Tatana',Papunesia,5.5,115.5,txx,Austronesian,,North Borneo,d66ff33,txx,MY,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,4.0,4.0,,,
tau,Tauya,Papunesia,-5.75,145.333333333,tya,Trans-New Guinea,,Madang,cff6600,tya,PG,2.0,2.0,5.0,2.0,3.0,3.0,,2.0,3.0,4.0,,,,,,,2.0,1.0,7.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,4.0,4.0,7.0,3.0,,,,,,,,,,3.0,,,,4.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,2.0,3.0,,,,,,,,9.0,4.0,,,4.0,1.0,,,,,2.0,3.0,1.0,6.0,,,,1.0,,,,6.0,2.0,1.0,,,,1.0,2.0,1.0,2.0,,,,,,2.0,,,,,2.0,,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,7.0,2.0,2.0,,,,,,2.0,2.0,5.0,1.0,5.0,2.0,,,
taw,Tawala,Papunesia,-10.3333333333,150.666666667,tbo,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,tbo,PG,2.0,,5.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,6.0,8.0,1.0,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,,3.0,,,,9.0,,,7.0,1.0,3.0,,2.0,1.0,2.0,,4.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,4.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,,,,2.0,,,5.0,5.0,2.0,2.0,,,
tay,Tayo,Papunesia,-22.0,166.333333333,cks,other,,Creoles and Pidgins,taa0000,cks,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taz,Talysh (Azerbaijan),Eurasia,38.75,48.6666666667,tly,Indo-European,,Iranian,cff66ff,tly,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tba,Tabare,Papunesia,-6.08333333333,145.0,sst,Trans-New Guinea,,Chimbu,cff66ff,sst,PG,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,
tbb,Tübatulabal,North America,36.0,-118.333333333,tub,Uto-Aztecan,,California Uto-Aztecan,fffff00,tub,US,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
tbe,Tigré (Beni Amer),Africa,15.5,38.0,tig,Afro-Asiatic,,Semitic,cdd0000,tig,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbl,Tabla,Papunesia,-2.45,140.416666667,tnm,Sentani,,Sentani,dcccccc,tnm,ID,,1.0,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,1.0,,,,,,,,,,,16.0,16.0,,2.0,2.0,3.0,2.0,18.0,4.0,,,,,,,,,,16.0,,11.0,,4.0,4.0,6.0,10.0,,,,,,,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,2.0,,,,,,,,,,,2.0,,1.0,,2.0,,,
tbo,Tboli,Papunesia,6.16666666667,124.5,tbl,Austronesian,,Bilic,d009900,tbl,PH,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,4.0,1.0,1.0,4.0,4.0,4.0,,,
tbr,Tabaru,Papunesia,1.5,127.25,tby,West Papuan,,North Halmaheran,t000000,tby,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tbs,Tabassaran,Eurasia,41.8333333333,47.9166666667,tab,Nakh-Daghestanian,Daghestanian,Lezgic,cff6600,tab,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbt,Tobati,Papunesia,-2.58333333333,140.666666667,tti,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,tti,ID,,,,,,3.0,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,18.0,,1.0,2.0,4.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,2.0,1.0,1.0,2.0,2.0,,,
tbu,Tubu,Africa,16.0,15.0,,Saharan,Saharan,Western Saharan,s009900,dzg tuq,TD NE,,,,,,,,,,,,,,,,,1.0,,,,1.0,5.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,1.0,4.0,,,,,,,,,,,,,,,,9.0,2.0,,,,,2.0,,,,,,,,1.0,,,,,,2.0,,1.0,4.0,1.0,2.0,2.0,,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,2.0,1.0,5.0,1.0,2.0,2.0,,,
tbw,Tabwa,Africa,-8.0,29.5,tap,Niger-Congo,Benue-Congo,Bantoid,d0000dd,tap,CD ZM,,2.0,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,5.0,,,,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,6.0,2.0,,,,,,,,,,6.0,2.0,,4.0,,4.0,,,
tbx,Tangbe,Eurasia,28.9166666667,83.75,skj,Sino-Tibetan,Tibeto-Burman,Bodic,fffff00,skj,NP,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,
tce,Tarahumara (Central),North America,27.5,-107.5,tar,Uto-Aztecan,,Tarahumaran,s009900,tar,MX,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,5.0,2.0,2.0,2.0,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,,,,,,,,,14.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,2.0,1.0,,,3.0
tda,Toda,Eurasia,11.4166666667,76.75,tcx,Dravidian,,Southern Dravidian,sff66ff,tcx,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdi,Tibetan (Dingri),Eurasia,28.5,86.5,bod,Sino-Tibetan,Tibeto-Burman,Bodic,fffff00,bod,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,6.0,2.0,,,,,,,,,,,,,,,2.0,,,
tdr,Tibetan (Drokpa),Eurasia,32.25,81.25,bod,Sino-Tibetan,Tibeto-Burman,Bodic,fffff00,bod,CN,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,4.0,4.0,20.0,,,,,,,,,,,5.0,,,,4.0,4.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,2.0,2.0,,7.0,2.0,2.0,,,,,,,,,,5.0,2.0,,,
tec,Tectiteco,North America,15.4166666667,-92.0833333333,ttc,Mayan,,Mayan,tff6600,ttc,GT MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
tee,Tepehua (Huehuetla),North America,20.5,-98.0,tee,Totonacan,,Totonacan,c66ff33,tee,MX,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,16.0,3.0,,13.0,10.0,,,4.0,1.0,7.0,4.0,,,,,,,,,14.0,,1.0,6.0,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,6.0,,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,7.0,3.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,4.0,4.0,3.0,,,
teh,Tehuelche,South America,-48.0,-68.0,teh,Chon,,Chon Proper,s000000,teh,AR,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,1.0,,1.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0
tel,Telugu,Eurasia,16.0,79.0,tel,Dravidian,,South-Central Dravidian,sff4400,tel,IN,,,,,,,,,,,,,,,,2.0,1.0,,,,2.0,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,2.0,,,1.0,,,,,,,,,2.0,,1.0,,,1.0,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,1.0,1.0,4.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,4.0,,,,,,4.0,,,,,,,,1.0,,,2.0,,1.0,2.0,,,,3.0,,,,,2.0,,,,,,,,,,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,1.0,6.0,2.0,5.0,1.0,1.0,1.0,,,
tem,Tem,Africa,8.66666666667,0.5,kdh,Niger-Congo,Gur,Southern-Central Gur,f101010,kdh,TG BJ GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,3.0,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ten,Tennet,Africa,4.41666666667,32.5,tex,Eastern Sudanic,,Surmic,sffffcc,tex,SS,,2.0,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,1.0,1.0,1.0,8.0,,,,1.0,8.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,5.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,,1.0,,1.0,,,,,,6.0,2.0,1.0,5.0,4.0,4.0,,,
teo,Teop,Papunesia,-5.66666666667,155.0,tio,Austronesian,Eastern Malayo-Polynesian,Oceanic,c0000dd,tio,PG,,,,,,,,,,,,,,,,,6.0,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,1.0,1.0,4.0,18.0,,,14.0,,2.0,,4.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,2.0,,,,,,,,,,,,,,5.0,,,4.0,,,,3.0,2.0,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,6.0,,1.0,4.0,4.0,4.0,,,
tep,Tepehua (Tlachichilco),North America,20.5833333333,-98.25,tpt,Totonacan,,Totonacan,c66ff33,tpt,MX,,2.0,,,,,,,,,3.0,1.0,,,,,2.0,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,21.0,,,11.0,,,,,,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,7.0,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,2.0,2.0,,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,4.0,4.0,3.0,,,
