ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
umb,2310,Africa,-12.5,15.0,0,AGO,6000000.0,29784193.0,Point(17.35 -12.35),1
ump,2311,Australia,-13.5,143.5,0,AUS,,24511800.0,Point(137.0 -28.0),1
mtg,2312,Papunesia,-4.66666666667,140.0,0,IDN,,270625568.0,Point(118.0 -2.0),1
ung,2313,Australia,-16.3333333333,126.0,0,AUS,,24511800.0,Point(137.0 -28.0),1
unm,2314,North America,40.0,-75.1666666667,0,USA,,331449281.0,Point(-98.5795 39.828175),1
uur,2315,Papunesia,-18.6666666667,169.083333333,0,VUT,,276244.0,Point(168.016669444 -16.633330555),1
urd,2316,Eurasia,25.0,67.0,0,"['CAN', 'NOR', 'USA', 'GBR', 'IND', 'FJI', 'PAK']",94022900.0,"[37894799.0, 5391369.0, 331449281.0, 66022273.0, 1326093247.0, 905502.0, 216565318.0]","['Point(-109.0 56.0)', 'Point(11.0 65.0)', 'Point(-98.5795 39.828175)', 'Point(-2.0 54.6)', 'Point(83.0 22.8)', 'Point(178.0 -18.0)', 'Point(71.0 30.0)']",7
urh,2317,Africa,5.58333333333,6.0,0,NGA,,190886311.0,Point(8.0 9.0),1
uri,2318,Papunesia,-3.58333333333,142.666666667,0,PNG,,8935000.0,Point(147.0 -6.3),1
urb,2319,South America,-2.33333333333,-46.5,0,BRA,,210147125.0,Point(-53.0 -14.0),1
urk,2320,Eurasia,8.0,98.3333333333,0,THA,,65931550.0,Point(101.0 14.0),1
uum,2321,Eurasia,47.1166666667,37.55,0,"['GRC', 'UKR', 'GEO']",185000.0,"[10760421.0, 42558328.0, 3717100.0]","['Point(23.0 38.5)', 'Point(32.0 49.0)', 'Point(43.733330555 42.016669444)']",3
ura,2322,South America,-4.5,-75.5,0,PER,,29381884.0,Point(-76.0 -9.4),1
urt,2323,Papunesia,-3.66666666667,142.833333333,0,PNG,,8935000.0,Point(147.0 -6.3),1
ure,2324,South America,-16.75,-69.0,0,BOL,,11051600.0,Point(-64.991228611 -17.056869611),1
wnu,2325,Papunesia,-4.83333333333,145.166666667,0,PNG,,8935000.0,Point(147.0 -6.3),1
usa,2326,Papunesia,-6.41666666667,145.583333333,0,PNG,,8935000.0,Point(147.0 -6.3),1
uig,2327,Eurasia,40.0,80.0,0,"['TUR', 'CHN', 'ALB', 'KAZ', 'UZB', 'MNG', 'KGZ', 'AFG']",10389840.0,"[83614362.0, 1409517397.0, 1443497378.0, 3020209.0, 18276500.0, 33570609.0, 3075647.0, 6201500.0, 36643815.0]","['Point(36.0 39.0)', 'Point(103.451944444 35.844722222)', 'Point(20.0 41.0)', 'Point(68.0 48.0)', 'Point(66.0 41.0)', 'Point(104.0 47.0)', 'Point(75.0 41.0)', 'Point(66.0 34.0)']",8
