,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
1028,kea,kjb,Kanjobal (Eastern),North America,GT,15.3333333333,-91.6666666667,Mayan,Mayan,0,L
1029,ked,ksx,Kedang,Papunesia,ID,-8.25,123.75,Austronesian,Central Malayo-Polynesian,0,L
1030,kef,kbr,Kefa,Africa,ET,7.25,36.25,Afro-Asiatic,South Omotic,0,L
1031,kei,kei,Kei,Papunesia,ID,-5.83333333333,132.916666667,Austronesian,Central Malayo-Polynesian,0,L
1032,kek,kek,K'ekchí,North America,GT,16.0,-89.8333333333,Mayan,Mayan,0,L
1033,kel,sbc,Kele,Papunesia,PG,-2.08333333333,147.083333333,Austronesian,Oceanic,0,L
1034,kem,ahg,Kemant,Africa,ET,12.6666666667,37.4166666667,Afro-Asiatic,Central Cushitic,0,L
1035,ken,kyq,Kenga,Africa,TD,12.0,18.0,Central Sudanic,Bongo-Bagirmi,0,L
1036,keo,xxk,Keo,Papunesia,ID,-8.83333333333,121.25,Austronesian,Central Malayo-Polynesian,0,L
1037,ker,ker,Kera,Africa,TD,9.83333333333,15.0833333333,Afro-Asiatic,East Chadic,0,L
1038,ket,ket,Ket,Eurasia,RU,64.0,87.0,Yeniseian,Yeniseian,0,L
1039,keu,ulu,Kenyah (Uma' Lung),,ID,3.0,115.833333333,Austronesian,North Borneo,0,L
1040,kew,kew kjs,Kewa,Papunesia,PG,-6.5,143.833333333,Trans-New Guinea,Engan,0,
1041,kfc,rop,Kriol (Fitzroy Crossing),,AU,-18.1666666667,125.583333333,other,Creoles and Pidgins,0,L
1042,kfe,kfz,Koromfe,Africa,BF ML,14.25,-0.916666666667,Niger-Congo,Northern-Central Gur,0,L
1043,kfy,kir,Kirghiz (Fu-Yu),Eurasia,CN,47.75,124.416666667,Altaic,Turkic,0,L
1044,kga,zga,Kinga,Africa,TZ,-9.0,34.0,Niger-Congo,Bantoid,0,L
1045,kgi,cou,Konyagi,Africa,ML GN,12.5,-13.25,Niger-Congo,Tenda,0,L
1046,kgl,ubu,Umbu Ungu,Papunesia,PG,-6.0,144.0,Trans-New Guinea,Chimbu,0,L
1047,kgm,kdm,Kagoma,Africa,NG,9.25,8.16666666667,Niger-Congo,Platoid,0,L
1048,kgr,kki,Kagulu,Africa,TZ,-6.33333333333,37.0,Niger-Congo,Bantoid,0,L
1049,kgt,ikt,Kangiryuarmiut,North America,CA,68.3333333333,-133.75,Eskimo-Aleut,Eskimo,0,L
1050,kgu,ktg,Kalkatungu,Australia,AU,-21.0,139.5,Pama-Nyungan,Northern Pama-Nyungan,0,X
