language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,France,fre,0.888,Point(2.0 47.0),66628000
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,France,fre,0.888,Point(2.0 47.0),66628000
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Andorra,fre,0.858,Point(1.555277777 42.558333333),76177
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Andorra,fre,0.858,Point(1.555277777 42.558333333),76177
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Algeria,fre,0.754,Point(1.0 28.0),41318142
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Algeria,fre,0.754,Point(1.0 28.0),41318142
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Cambodia,fre,0.582,Point(105.0 12.6),16005373
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Cambodia,fre,0.582,Point(105.0 12.6),16005373
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Chad,fre,0.404,Point(19.4 15.466667),15477751
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Chad,fre,0.404,Point(19.4 15.466667),15477751
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,India,fre,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,India,fre,0.64,Point(83.0 22.8),1326093247
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Vanuatu,fre,0.603,Point(168.016669444 -16.633330555),276244
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Vanuatu,fre,0.603,Point(168.016669444 -16.633330555),276244
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Haiti,fre,0.498,Point(-72.8 19.0),10981229
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Haiti,fre,0.498,Point(-72.8 19.0),10981229
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Lebanon,fre,0.757,Point(35.766667 33.833333),6100075
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Lebanon,fre,0.757,Point(35.766667 33.833333),6100075
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Mali,fre,0.427,Point(-4.0 17.0),18541980
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Mali,fre,0.427,Point(-4.0 17.0),18541980
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Central African Republic,fre,0.367,Point(20.9 6.7),4659080
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Central African Republic,fre,0.367,Point(20.9 6.7),4659080
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Togo,fre,0.503,Point(1.183333 8.25),7797694
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Togo,fre,0.503,Point(1.183333 8.25),7797694
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Benin,fre,0.515,Point(2.183333333 8.833333333),11175692
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Benin,fre,0.515,Point(2.183333333 8.833333333),11175692
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Burkina Faso,fre,0.423,Point(-2.066667 12.266667),19193382
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Burkina Faso,fre,0.423,Point(-2.066667 12.266667),19193382
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Burundi,fre,0.417,Point(29.816667 -3.666667),11530580
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Burundi,fre,0.417,Point(29.816667 -3.666667),11530580
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Comoros,fre,0.503,Point(44.44553 -12.23333),823652
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Comoros,fre,0.503,Point(44.44553 -12.23333),823652
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Republic of the Congo,fre,0.606,Point(15.383330555 -0.75),5260750
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Republic of the Congo,fre,0.606,Point(15.383330555 -0.75),5260750
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Democratic Republic of the Congo,fre,0.457,Point(23.656 -2.88),86790567
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Democratic Republic of the Congo,fre,0.457,Point(23.656 -2.88),86790567
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Djibouti,fre,0.476,Point(42.433333 11.8),956985
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Djibouti,fre,0.476,Point(42.433333 11.8),956985
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Equatorial Guinea,fre,0.591,Point(10.0 1.5),1267689
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Equatorial Guinea,fre,0.591,Point(10.0 1.5),1267689
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Gabon,fre,0.702,Point(11.5 -0.683330555),2025137
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Gabon,fre,0.702,Point(11.5 -0.683330555),2025137
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Guinea,fre,0.459,Point(-11.0 10.0),12717176
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Guinea,fre,0.459,Point(-11.0 10.0),12717176
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Ivory Coast,fre,0.492,Point(-6.0 8.0),24294750
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Ivory Coast,fre,0.492,Point(-6.0 8.0),24294750
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Cameroon,fre,0.556,Point(12.0 7.0),24053727
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Cameroon,fre,0.556,Point(12.0 7.0),24053727
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Madagascar,fre,0.519,Point(47.0 -20.0),25570895
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Madagascar,fre,0.519,Point(47.0 -20.0),25570895
