ISO_codes,Name_x,status,cantidad de hablantes,country,IDH,coordinates,Population,Unnamed: 0,Name_y,Macroarea,Latitude,Longitude,ISO639P3code,Family,Subfamily,Genus,GenusIcon,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
nep,Nepali,0,2926168,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,2926168,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,8680000,India,0.64,Point(83.0 22.8),1326093247,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,8680000,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,8680000,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,11826953,India,0.64,Point(83.0 22.8),1326093247,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,15451000,India,0.64,Point(83.0 22.8),1326093247,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,17000000,India,0.64,Point(83.0 22.8),1326093247,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,24131000,India,0.64,Point(83.0 22.8),1326093247,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,11826953,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,15451000,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,17000000,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,24131000,Nepal,0.574,Point(84.0 28.0),30327877,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,11826953,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,15451000,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,17000000,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
nep,Nepali,0,24131000,Bhutan,0.612,Point(90.5 27.45),807610,nep,Nepali,Eurasia,28.0,85.0,nep,Indo-European,,Indic,cff6600,NP,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,4.0,,,,,2.0,2.0,2.0,2.0,2.0,,,,2.0,,,,2.0,4.0,,1.0,,,,,4.0,,,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,,,2.0,1.0,,,1.0,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,1.0,,1.0,,,
tcy,Tulu,0,2000000,India,0.64,Point(83.0 22.8),1326093247,tul,Tulu,Eurasia,12.75,75.3333333333,tcy,Dravidian,,Southern Dravidian,sff66ff,IN,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,3.0,,,,2.0,,,,5.0,5.0,,,3.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,,1.0,,1.0,,,
tpi,Tok Pisin,0,4000000,Papua New Guinea,0.555,Point(147.0 -6.3),8935000,tpi,Tok Pisin,Papunesia,-9.5,147.16666666700002,tpi,other,,Creoles and Pidgins,taa0000,PG,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpi,Tok Pisin,0,122000,Papua New Guinea,0.555,Point(147.0 -6.3),8935000,tpi,Tok Pisin,Papunesia,-9.5,147.16666666700002,tpi,other,,Creoles and Pidgins,taa0000,PG,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mzn,Mazanderani,0,3270000,Iran,0.7979999999999999,Point(53.0 32.0),79966230,mzn,Mazanderani,Eurasia,36.5,52.0,mzn,Indo-European,,Iranian,cff66ff,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
brh,Brahui language,0,1800000,Iran,0.7979999999999999,Point(53.0 32.0),79966230,brh,Brahui,Eurasia,28.5,67.0,brh,Dravidian,,Northern Dravidian,sffcc00,PK,2.0,2.0,2.0,3.0,1.0,,,2.0,3.0,4.0,8.0,5.0,2.0,,,2.0,1.0,3.0,3.0,1.0,,,,,1.0,,,4.0,,,2.0,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,,,3.0,,4.0,3.0,,,4.0,6.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,5.0,,2.0,2.0,3.0
brh,Brahui language,0,1800000,Pakistan,0.562,Point(71.0 30.0),216565318,brh,Brahui,Eurasia,28.5,67.0,brh,Dravidian,,Northern Dravidian,sffcc00,PK,2.0,2.0,2.0,3.0,1.0,,,2.0,3.0,4.0,8.0,5.0,2.0,,,2.0,1.0,3.0,3.0,1.0,,,,,1.0,,,4.0,,,2.0,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,,,3.0,,4.0,3.0,,,4.0,6.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,5.0,,2.0,2.0,3.0
brh,Brahui language,0,1800000,Turkmenistan,0.706,Point(60.0 39.0),5850901,brh,Brahui,Eurasia,28.5,67.0,brh,Dravidian,,Northern Dravidian,sffcc00,PK,2.0,2.0,2.0,3.0,1.0,,,2.0,3.0,4.0,8.0,5.0,2.0,,,2.0,1.0,3.0,3.0,1.0,,,,,1.0,,,4.0,,,2.0,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,,,3.0,,4.0,3.0,,,4.0,6.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,5.0,,2.0,2.0,3.0
brh,Brahui language,0,1800000,Afghanistan,0.498,Point(66.0 34.0),36643815,brh,Brahui,Eurasia,28.5,67.0,brh,Dravidian,,Northern Dravidian,sffcc00,PK,2.0,2.0,2.0,3.0,1.0,,,2.0,3.0,4.0,8.0,5.0,2.0,,,2.0,1.0,3.0,3.0,1.0,,,,,1.0,,,4.0,,,2.0,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,,,3.0,,4.0,3.0,,,4.0,6.0,1.0,3.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,2.0,,,5.0,,2.0,2.0,3.0
glk,Gilaki,0,3000000,Iran,0.7979999999999999,Point(53.0 32.0),79966230,gil,Gilaki,Eurasia,37.3333333333,50.0,glk,Indo-European,,Iranian,cff66ff,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
dyu,Dioula,0,2700000,Mali,0.42700000000000005,Point(-4.0 17.0),18541980,dyu,Dyula,Africa,9.833333333330001,-4.66666666667,dyu,Mande,,Western Mande,f009900,BF ML CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyu,Dioula,0,2700000,Burkina Faso,0.423,Point(-2.066667 12.266667),19193382,dyu,Dyula,Africa,9.833333333330001,-4.66666666667,dyu,Mande,,Western Mande,f009900,BF ML CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyu,Dioula,0,2700000,Ivory Coast,0.49200000000000005,Point(-6.0 8.0),24294750,dyu,Dyula,Africa,9.833333333330001,-4.66666666667,dyu,Mande,,Western Mande,f009900,BF ML CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
