languageLabel,ISO,countryLabel,countryISO,Ethnologe_statusLabel,number_of_speaker,coordinates,HDI,population,country_coordinates
Bende,bdp,Tanzania,TZA,6a Vigorous,27000,,0.538,57310019,Point(34.854 -6.307)
Bahnar,bdq,Vietnam,VNM,5 Developing,,Point(108.333333333 13.833333333),0.694,94660000,Point(108.0 16.0)
West Coast Bajau,bdr,Malaysia,MYS,6b Threatened,210000,Point(116.333333333 6.333333333),0.802,31624264,Point(108.0 3.0)
Burunge,bds,Tanzania,TZA,6a Vigorous,,Point(36.0 -5.333333333),0.538,57310019,Point(34.854 -6.307)
Bokoto,bdt,Central African Republic,CAF,6a Vigorous,,,0.367,4659080,Point(20.9 6.7)
Oroko,bdu,Cameroon,CMR,5 Developing,,Point(9.333333333 4.833333333),0.556,24053727,Point(12.0 7.0)
Oroko,bdu,Cameroon,CMR,5 Developing,,Point(9.166666666 5.0),0.556,24053727,Point(12.0 7.0)
Bodo Parja,bdv,India,IND,5 Developing,,,0.64,1326093247,Point(83.0 22.8)
Baham,bdw,Indonesia,IDN,6b Threatened,,Point(132.666666667 -3.166666666),0.694,270625568,Point(118.0 -2.0)
Budong-Budong,bdx,Indonesia,IDN,8a Moribund,,,0.694,270625568,Point(118.0 -2.0)
Bandjalang,bdy,Australia,AUS,8a Moribund,,Point(152.416666667 -28.416666666),0.939,24511800,Point(137.0 -28.0)
Bandjalang,bdy,Australia,AUS,8a Moribund,,Point(152.583333333 -29.083333333),0.939,24511800,Point(137.0 -28.0)
Bandjalang,bdy,Australia,AUS,8a Moribund,,Point(153.0 -28.916666666),0.939,24511800,Point(137.0 -28.0)
Bandjalang,bdy,Australia,AUS,8a Moribund,,Point(153.0 -28.75),0.939,24511800,Point(137.0 -28.0)
Bandjalang,bdy,Australia,AUS,8a Moribund,,Point(153.0 -27.916666666),0.939,24511800,Point(137.0 -28.0)
Badeshi,bdz,Pakistan,PAK,9 Dormant,3,,0.562,216565318,Point(71.0 30.0)
Danezaa,bea,Canada,CAN,8a Moribund,160,,0.926,37894799,Point(-109.0 56.0)
Bebele,beb,Cameroon,CMR,6b Threatened,,,0.556,24053727,Point(12.0 7.0)
Ceve,bec,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Ceve,bec,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Bedoanas,bed,Indonesia,IDN,7 Shifting,,,0.694,270625568,Point(118.0 -2.0)
Byangsi,bee,India,IND,6b Threatened,,Point(80.5 30.166666666),0.64,1326093247,Point(83.0 22.8)
Byangsi,bee,Nepal,NPL,6b Threatened,,Point(80.5 30.166666666),0.574,30327877,Point(84.0 28.0)
Benabena,bef,Papua New Guinea,PNG,6b Threatened,,Point(145.5 -6.166666666),0.555,8935000,Point(147.0 -6.3)
Belait,beg,Brunei,BRN,7 Shifting,,,0.853,428697,Point(114.566667 4.4)
Berba,beh,Togo,TGO,5 Developing,,,0.503,7797694,Point(1.183333 8.25)
Berba,beh,Benin,BEN,5 Developing,,,0.515,11175692,Point(2.183333333 8.833333333)
Berba,beh,Burkina Faso,BFA,5 Developing,,,0.423,19193382,Point(-2.066667 12.266667)
Bakati’,bei,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Beja,bej,Egypt,EGY,5 Developing,1178000,Point(36.0 18.0),0.696,94798827,Point(29.0 27.0)
Beja,bej,Eritrea,ERI,5 Developing,1178000,Point(36.0 18.0),0.44,3497000,Point(38.25 15.483333)
Beja,bej,Sudan,SDN,5 Developing,1178000,Point(36.0 18.0),0.502,40533330,Point(32.0 15.0)
Bebeli,bek,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Belarusian,bel,Canada,CAN,1 National,7900000,,0.926,37894799,Point(-109.0 56.0)
Belarusian,bel,United States of America,USA,1 National,7900000,,0.92,331449281,Point(-98.5795 39.828175)
Belarusian,bel,Poland,POL,1 National,7900000,,0.843,38382576,Point(19.0 52.0)
Belarusian,bel,Lithuania,LTU,1 National,7900000,,0.839,2790842,Point(24.0 55.2)
Belarusian,bel,Russia,RUS,1 National,7900000,,0.816,146804372,Point(94.25 66.416666666)
Belarusian,bel,Belarus,BLR,1 National,7900000,,0.798,9349645,Point(28.046666666 53.528333333)
Belarusian,bel,Latvia,LVA,1 National,7900000,,0.819,1909000,Point(25.0 57.0)
Belarusian,bel,Ukraine,UKR,1 National,7900000,,0.747,42558328,Point(32.0 49.0)
Bemba,bem,Zambia,ZMB,2 Provincial,3600000,Point(28.25 -10.0),0.588,17094130,Point(28.0 -14.0)
Bemba,bem,Democratic Republic of the Congo,COD,2 Provincial,3600000,Point(28.25 -10.0),0.457,86790567,Point(23.656 -2.88)
Bengali,ben,India,IND,1 National,19200000,Point(90.0 24.0),0.64,1326093247,Point(83.0 22.8)
Bengali,ben,India,IND,1 National,19202880,Point(90.0 24.0),0.64,1326093247,Point(83.0 22.8)
Bengali,ben,India,IND,1 National,106000000,Point(90.0 24.0),0.64,1326093247,Point(83.0 22.8)
Bengali,ben,India,IND,1 National,189261200,Point(90.0 24.0),0.64,1326093247,Point(83.0 22.8)
Bengali,ben,India,IND,1 National,242659750,Point(90.0 24.0),0.64,1326093247,Point(83.0 22.8)
Bengali,ben,Bangladesh,BGD,1 National,19200000,Point(90.0 24.0),0.632,165775000,Point(89.866667 24.016667)
Bengali,ben,Bangladesh,BGD,1 National,19202880,Point(90.0 24.0),0.632,165775000,Point(89.866667 24.016667)
Bengali,ben,Bangladesh,BGD,1 National,106000000,Point(90.0 24.0),0.632,165775000,Point(89.866667 24.016667)
Bengali,ben,Bangladesh,BGD,1 National,189261200,Point(90.0 24.0),0.632,165775000,Point(89.866667 24.016667)
Bengali,ben,Bangladesh,BGD,1 National,242659750,Point(90.0 24.0),0.632,165775000,Point(89.866667 24.016667)
Bengali,ben,Sierra Leone,SLE,1 National,19200000,Point(90.0 24.0),0.419,7557212,Point(-12.1 8.5)
Bengali,ben,Sierra Leone,SLE,1 National,19202880,Point(90.0 24.0),0.419,7557212,Point(-12.1 8.5)
Bengali,ben,Sierra Leone,SLE,1 National,106000000,Point(90.0 24.0),0.419,7557212,Point(-12.1 8.5)
Bengali,ben,Sierra Leone,SLE,1 National,189261200,Point(90.0 24.0),0.419,7557212,Point(-12.1 8.5)
Bengali,ben,Sierra Leone,SLE,1 National,242659750,Point(90.0 24.0),0.419,7557212,Point(-12.1 8.5)
Beami,beo,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Besoa,bep,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Beembe,beq,Republic of the Congo,COG,5 Developing,,Point(14.083333333 -3.916666666),0.606,5260750,Point(15.383330555 -0.75)
Besme,bes,Chad,TCD,6a Vigorous,,,0.404,15477751,Point(19.4 15.466667)
Bete Guiberoua,bet,Ivory Coast,CIV,5 Developing,,,0.492,24294750,Point(-6.0 8.0)
Blagar,beu,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Bete Daloa,bev,Ivory Coast,CIV,5 Developing,,Point(-6.25 6.25),0.492,24294750,Point(-6.0 8.0)
Batavian,bew,Indonesia,IDN,6b Threatened,,Point(107.0 -6.5),0.694,270625568,Point(118.0 -2.0)
Jur Modo,bex,South Sudan,SSD,4 Educational,,Point(30.0 6.0),0.388,12575714,Point(30.0 7.0)
Beli,bey,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Bena,bez,Tanzania,TZA,5 Developing,,,0.538,57310019,Point(34.854 -6.307)
Bari,bfa,South Sudan,SSD,3 Wider Communication,,Point(31.666666666 5.0),0.388,12575714,Point(30.0 7.0)
Bari,bfa,South Sudan,SSD,3 Wider Communication,,Point(31.666666666 5.833333333),0.388,12575714,Point(30.0 7.0)
Bari,bfa,Uganda,UGA,3 Wider Communication,,Point(31.666666666 5.0),0.516,42862958,Point(32.39 1.28)
Bari,bfa,Uganda,UGA,3 Wider Communication,,Point(31.666666666 5.833333333),0.516,42862958,Point(32.39 1.28)
Pauri Bareli,bfb,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Panyi Bai,bfc,People's Republic of China,CHN,6b Threatened,,,0.752,1409517397,Point(103.451944444 35.844722222)
Panyi Bai,bfc,People's Republic of China,CHN,6b Threatened,,,0.752,1443497378,Point(103.451944444 35.844722222)
Fut,bfd,Cameroon,CMR,5 Developing,,Point(9.916666666 6.25),0.556,24053727,Point(12.0 7.0)
Betaf,bfe,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Bofi,bff,Central African Republic,CAF,6a Vigorous,23500,,0.367,4659080,Point(20.9 6.7)
Kayan Busang,bfg,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Blafe,bfh,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
British Sign Language,bfi,United Kingdom,GBR,5 Developing,77000,Point(-1.0 52.0),0.922,66022273,Point(-2.0 54.6)
British Sign Language,bfi,United Kingdom,GBR,5 Developing,327000,Point(-1.0 52.0),0.922,66022273,Point(-2.0 54.6)
Bafanji,bfj,Cameroon,CMR,5 Developing,,,0.556,24053727,Point(12.0 7.0)
Ban Khor Sign Language,bfk,Thailand,THA,6a Vigorous,,,0.755,65931550,Point(101.0 14.0)
Banda-Ndele,bfl,Central African Republic,CAF,6a Vigorous,,,0.367,4659080,Point(20.9 6.7)
Mmen,bfm,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Bunak,bfn,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Bunak,bfn,East Timor,TLS,6a Vigorous,,,0.625,1296311,Point(125.75 -8.966667)
Malba Birifor,bfo,Burkina Faso,BFA,5 Developing,,,0.423,19193382,Point(-2.066667 12.266667)
Beba,bfp,Cameroon,CMR,6b Threatened,,,0.556,24053727,Point(12.0 7.0)
Badaga,bfq,India,IND,5 Developing,245000,Point(76.75 11.666666666),0.64,1326093247,Point(83.0 22.8)
Bazigar,bfr,India,IND,7 Shifting,,,0.64,1326093247,Point(83.0 22.8)
Southern Bai,bfs,People's Republic of China,CHN,6a Vigorous,,,0.752,1409517397,Point(103.451944444 35.844722222)
Southern Bai,bfs,People's Republic of China,CHN,6a Vigorous,,,0.752,1443497378,Point(103.451944444 35.844722222)
Balti,bft,India,IND,5 Developing,,Point(76.0 35.0),0.64,1326093247,Point(83.0 22.8)
Balti,bft,Pakistan,PAK,5 Developing,,Point(76.0 35.0),0.562,216565318,Point(71.0 30.0)
Gahri,bfu,India,IND,6b Threatened,,Point(77.0 32.5),0.64,1326093247,Point(83.0 22.8)
Bonda,bfw,India,IND,6b Threatened,,Point(82.0 18.0),0.64,1326093247,Point(83.0 22.8)
Bantayanon,bfx,Philippines,PHL,6a Vigorous,,,0.699,100981437,Point(123.0 12.0)
Bagheli,bfy,India,IND,6a Vigorous,8000000,,0.64,1326093247,Point(83.0 22.8)
Mahasu Pahari,bfz,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Lyase,bga,Nigeria,NGA,8b Nearly Extinct,,,0.532,190886311,Point(8.0 9.0)
Bobongko,bgb,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Haryanvi,bgc,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Rathwi Bareli,bgd,India,IND,5 Developing,,,0.64,1326093247,Point(83.0 22.8)
Bauria,bge,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Bangandu,bgf,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Khowa,bgg,India,IND,6b Threatened,,,0.64,1326093247,Point(83.0 22.8)
Bagobo,bgi,Philippines,PHL,7 Shifting,,,0.699,100981437,Point(123.0 12.0)
Bangolan,bgj,Cameroon,CMR,5 Developing,14000,,0.556,24053727,Point(12.0 7.0)
Bit,bgk,People's Republic of China,CHN,6a Vigorous,,,0.752,1409517397,Point(103.451944444 35.844722222)
Bit,bgk,People's Republic of China,CHN,6a Vigorous,,,0.752,1443497378,Point(103.451944444 35.844722222)
Bit,bgk,Laos,LAO,6a Vigorous,,,0.601,6858160,Point(104.0 18.2)
Bo,bgl,Laos,LAO,6b Threatened,,,0.601,6858160,Point(104.0 18.2)
Western Balochi,bgn,Iran,IRN,5 Developing,,,0.798,79966230,Point(53.0 32.0)
Western Balochi,bgn,Pakistan,PAK,5 Developing,,,0.562,216565318,Point(71.0 30.0)
Western Balochi,bgn,Afghanistan,AFG,5 Developing,,,0.498,36643815,Point(66.0 34.0)
Baga Koga,bgo,Guinea,GIN,8b Nearly Extinct,,,0.459,12717176,Point(-11.0 10.0)
Eastern Balochi,bgp,Pakistan,PAK,5 Developing,3050000,Point(62.0 28.0),0.562,216565318,Point(71.0 30.0)
Bagri,bgq,India,IND,6a Vigorous,1890815,Point(74.333333333 29.583333333),0.64,1326093247,Point(83.0 22.8)
Bawm,bgr,India,IND,6b Threatened,,Point(92.25 22.5),0.64,1326093247,Point(83.0 22.8)
Bawm,bgr,Myanmar,MMR,6b Threatened,,Point(92.25 22.5),0.578,53370609,Point(96.0 22.0)
Bawm,bgr,Bangladesh,BGD,6b Threatened,,Point(92.25 22.5),0.632,165775000,Point(89.866667 24.016667)
Tagabawa,bgs,Philippines,PHL,4 Educational,,,0.699,100981437,Point(123.0 12.0)
Bughotu,bgt,Solomon Islands,SLB,5 Developing,,,0.546,611343,Point(159.816666666 -9.466666666)
Kamkam,bgu,Cameroon,CMR,6b Threatened,,,0.556,24053727,Point(12.0 7.0)
Kamkam,bgu,Nigeria,NGA,6b Threatened,,,0.532,190886311,Point(8.0 9.0)
Bipim,bgv,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Bhatri,bgw,India,IND,3 Wider Communication,,,0.64,1326093247,Point(83.0 22.8)
Balkan Gagauz Turkish,bgx,Turkey,TUR,7 Shifting,464000,,0.82,83614362,Point(36.0 39.0)
Balkan Gagauz Turkish,bgx,Bulgaria,BGR,7 Shifting,464000,,0.782,7000039,Point(25.5 42.75)
Balkan Gagauz Turkish,bgx,North Macedonia,MKD,7 Shifting,464000,,0.747,2075301,Point(21.716667 41.65)
Benggoi,bgy,Indonesia,IDN,8a Moribund,,,0.694,270625568,Point(118.0 -2.0)
Banggai,bgz,Indonesia,IDN,7 Shifting,,Point(123.166666667 -1.416666666),0.694,270625568,Point(118.0 -2.0)
Bharia,bha,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Bhili,bhb,India,IND,5 Developing,3310000,Point(73.0 22.0),0.64,1326093247,Point(83.0 22.8)
Biga,bhc,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Bhadrawahi,bhd,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Bhaya language,bhe,Pakistan,PAK,6b Threatened,,,0.562,216565318,Point(71.0 30.0)
Busa,bhf,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Binandere,bhg,Papua New Guinea,PNG,5 Developing,,Point(148.0 -8.25),0.555,8935000,Point(147.0 -6.3)
Bukhori,bhh,Israel,ISR,7 Shifting,60000,,0.899,9093000,Point(35.0 31.0)
Bhilali,bhi,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Bahing,bhj,Nepal,NPL,6a Vigorous,,,0.574,30327877,Point(84.0 28.0)
Bimin,bhl,Papua New Guinea,PNG,4 Educational,,,0.555,8935000,Point(147.0 -6.3)
Bathari,bhm,Oman,OMN,8b Nearly Extinct,,Point(56.0 18.0),0.821,4829480,Point(57.0 21.0)
Bohtan Neo-Aramaic,bhn,Georgia,GEO,7 Shifting,,,0.754,3717100,Point(43.733330555 42.016669444)
Bhojpuri,bho,India,IND,4 Educational,38000000,Point(84.0 26.0),0.64,1326093247,Point(83.0 22.8)
Bhojpuri,bho,Nepal,NPL,4 Educational,38000000,Point(84.0 26.0),0.574,30327877,Point(84.0 28.0)
Bima,bhp,Indonesia,IDN,6a Vigorous,,Point(118.5 -8.5),0.694,270625568,Point(118.0 -2.0)
Southern Tukang Besi,bhq,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Bara Malagasy,bhr,Madagascar,MDG,6a Vigorous,,,0.519,25570895,Point(47.0 -20.0)
Buwal,bhs,Cameroon,CMR,5 Developing,,,0.556,24053727,Point(12.0 7.0)
Bhattiyali,bht,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Bhunjia,bhu,India,IND,6b Threatened,,,0.64,1326093247,Point(83.0 22.8)
Bahau,bhv,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Biak,bhw,Indonesia,IDN,6b Threatened,,Point(136.0 -1.0),0.694,270625568,Point(118.0 -2.0)
Bhalay,bhx,India,IND,6b Threatened,,,0.64,1326093247,Point(83.0 22.8)
Bhele,bhy,Democratic Republic of the Congo,COD,6b Threatened,,,0.457,86790567,Point(23.656 -2.88)
Bada,bhz,Indonesia,IDN,5 Developing,,,0.694,270625568,Point(118.0 -2.0)
Badimaya,bia,Australia,AUS,8b Nearly Extinct,,Point(118.0 -27.666666666),0.939,24511800,Point(137.0 -28.0)
Bissa,bib,Ghana,GHA,5 Developing,,Point(-0.5 11.5),0.592,26908262,Point(-0.5 8.0)
Bissa,bib,Togo,TGO,5 Developing,,Point(-0.5 11.5),0.503,7797694,Point(1.183333 8.25)
Bissa,bib,Burkina Faso,BFA,5 Developing,,Point(-0.5 11.5),0.423,19193382,Point(-2.066667 12.266667)
Bikaru,bic,Papua New Guinea,PNG,8a Moribund,,,0.555,8935000,Point(147.0 -6.3)
Bidiyo,bid,Chad,TCD,6a Vigorous,,Point(18.75 11.916666666),0.404,15477751,Point(19.4 15.466667)
Bepour,bie,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Biafada,bif,Guinea-Bissau,GNB,6a Vigorous,,Point(-15.166666666 11.416666666),0.455,1861283,Point(-15.0 12.0)
Biangai,big,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Kwanka,bij,Nigeria,NGA,6b Threatened,,,0.532,190886311,Point(8.0 9.0)
Bile,bil,Nigeria,NGA,7 Shifting,,,0.532,190886311,Point(8.0 9.0)
Bimoba,bim,Ghana,GHA,6b Threatened,,Point(0.0 10.5),0.592,26908262,Point(-0.5 8.0)
Edo,bin,Nigeria,NGA,4 Educational,1600000,Point(5.833333333 6.416666666),0.532,190886311,Point(8.0 9.0)
Nai,bio,Papua New Guinea,PNG,5 Developing,,Point(141.266666667 -3.716666666),0.555,8935000,Point(147.0 -6.3)
Bila,bip,Democratic Republic of the Congo,COD,6a Vigorous,,Point(28.75 1.0),0.457,86790567,Point(23.656 -2.88)
Bipi,biq,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Bisorio,bir,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Bislama,bis,France,FRA,1 National,10000,Point(168.0 -16.0),0.888,66628000,Point(2.0 47.0)
Bislama,bis,Vanuatu,VUT,1 National,10000,Point(168.0 -16.0),0.603,276244,Point(168.016669444 -16.633330555)
Berinomo,bit,Papua New Guinea,PNG,6b Threatened,,,0.555,8935000,Point(147.0 -6.3)
Biete,biu,India,IND,5 Developing,,,0.64,1326093247,Point(83.0 22.8)
Southern Birifor,biv,Ghana,GHA,5 Developing,,,0.592,26908262,Point(-0.5 8.0)
Southern Birifor,biv,Ivory Coast,CIV,5 Developing,,,0.492,24294750,Point(-6.0 8.0)
Kol,biw,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Birjia,bix,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Birhor,biy,India,IND,6a Vigorous,,,0.64,1326093247,Point(83.0 22.8)
Ngiri,biz,Democratic Republic of the Congo,COD,6a Vigorous,,,0.457,86790567,Point(23.656 -2.88)
Budza,bja,Democratic Republic of the Congo,COD,6a Vigorous,,,0.457,86790567,Point(23.656 -2.88)
Barngarla,bjb,Australia,AUS,9 Dormant,,Point(137.0 -32.0),0.939,24511800,Point(137.0 -28.0)
Aga Bereho,bjc,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Biao Min,bje,People's Republic of China,CHN,6a Vigorous,,,0.752,1409517397,Point(103.451944444 35.844722222)
Biao Min,bje,People's Republic of China,CHN,6a Vigorous,,,0.752,1443497378,Point(103.451944444 35.844722222)
Barzani Jewish Neo-Aramaic,bjf,Iraq,IRQ,8b Nearly Extinct,,,0.685,38274618,Point(43.0 33.0)
Barzani Jewish Neo-Aramaic,bjf,Israel,ISR,8b Nearly Extinct,,,0.899,9093000,Point(35.0 31.0)
Bijago,bjg,Guinea-Bissau,GNB,6a Vigorous,,,0.455,1861283,Point(-15.0 12.0)
Bahinemo,bjh,Papua New Guinea,PNG,5 Developing,,Point(142.833333333 -4.583333333),0.555,8935000,Point(147.0 -6.3)
Burji,bji,Kenya,KEN,4 Educational,70100,Point(37.833333333 5.5),0.548,48468138,Point(38.0 0.1)
Burji,bji,Ethiopia,ETH,4 Educational,70100,Point(37.833333333 5.5),0.463,104957438,Point(40.0 9.0)
Kannauji,bjj,India,IND,6b Threatened,,,0.64,1326093247,Point(83.0 22.8)
Barok,bjk,Papua New Guinea,PNG,4 Educational,,,0.555,8935000,Point(147.0 -6.3)
Bulu,bjl,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Bajelani,bjm,Iraq,IRQ,7 Shifting,,,0.685,38274618,Point(43.0 33.0)
Banjar,bjn,Indonesia,IDN,3 Wider Communication,3500000,,0.694,270625568,Point(118.0 -2.0)
Mid-Southern Banda,bjo,Central African Republic,CAF,6a Vigorous,,,0.367,4659080,Point(20.9 6.7)
Mid-Southern Banda,bjo,Democratic Republic of the Congo,COD,6a Vigorous,,,0.457,86790567,Point(23.656 -2.88)
Fanamaket,bjp,Papua New Guinea,PNG,6a Vigorous,,,0.555,8935000,Point(147.0 -6.3)
Binumarien,bjr,Papua New Guinea,PNG,6a Vigorous,,Point(146.083333333 -6.283333333),0.555,8935000,Point(147.0 -6.3)
Bajan Creole,bjs,Barbados,BRB,6a Vigorous,,,0.8,285719,Point(-59.5525 13.17)
Balanta-Ganja,bjt,Senegal,SEN,5 Developing,,,0.505,15850567,Point(-14.283333 14.366667)
Busuu,bju,Cameroon,CMR,10 Extinct,,,0.556,24053727,Point(12.0 7.0)
Bedjond jezik,bjv,Chad,TCD,6a Vigorous,,,0.404,15477751,Point(19.4 15.466667)
Bakwé,bjw,Ivory Coast,CIV,6a Vigorous,,,0.492,24294750,Point(-6.0 8.0)
Banao Itneg,bjx,Philippines,PHL,6a Vigorous,,,0.699,100981437,Point(123.0 12.0)
Bayali,bjy,Australia,AUS,10 Extinct,,Point(150.5 -22.75),0.939,24511800,Point(137.0 -28.0)
Baruga,bjz,Papua New Guinea,PNG,5 Developing,,,0.555,8935000,Point(147.0 -6.3)
Bambuka,bka,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Baka,bkc,Gabon,GAB,6a Vigorous,,Point(13.583333333 2.583333333),0.702,2025137,Point(11.5 -0.683330555)
Baka,bkc,Cameroon,CMR,6a Vigorous,,Point(13.583333333 2.583333333),0.556,24053727,Point(12.0 7.0)
Binukid,bkd,Philippines,PHL,5 Developing,,Point(124.833333333 8.25),0.699,100981437,Point(123.0 12.0)
Bengkulu,bke,Indonesia,IDN,,,,0.694,270625568,Point(118.0 -2.0)
Beeke,bkf,Democratic Republic of the Congo,COD,8a Moribund,,,0.457,86790567,Point(23.656 -2.88)
Buraka,bkg,Central African Republic,CAF,6b Threatened,,,0.367,4659080,Point(20.9 6.7)
Buraka,bkg,Democratic Republic of the Congo,COD,6b Threatened,,,0.457,86790567,Point(23.656 -2.88)
Kogo,bkh,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Baki,bki,Vanuatu,VUT,6b Threatened,,,0.603,276244,Point(168.016669444 -16.633330555)
Pande,bkj,Central African Republic,CAF,6a Vigorous,,,0.367,4659080,Point(20.9 6.7)
Brokskat,bkk,India,IND,6b Threatened,,Point(76.5 35.333333333),0.64,1326093247,Point(83.0 22.8)
Berik,bkl,Indonesia,IDN,6b Threatened,,Point(138.833333333 -2.25),0.694,270625568,Point(118.0 -2.0)
Kom,bkm,Cameroon,CMR,3 Wider Communication,,Point(10.333333333 6.25),0.556,24053727,Point(12.0 7.0)
Bukitan,bkn,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Bukitan,bkn,Malaysia,MYS,6b Threatened,,,0.802,31624264,Point(108.0 3.0)
Kwa’,bko,Cameroon,CMR,7 Shifting,,,0.556,24053727,Point(12.0 7.0)
Boko,bkp,Democratic Republic of the Congo,COD,6a Vigorous,,,0.457,86790567,Point(23.656 -2.88)
Bakairi,bkq,Brazil,BRA,5 Developing,,Point(-55.0 -14.0),0.754,210147125,Point(-53.0 -14.0)
Bakumpai,bkr,Indonesia,IDN,3 Wider Communication,,,0.694,270625568,Point(118.0 -2.0)
North Sorsoganon,bks,Philippines,PHL,6a Vigorous,,,0.699,100981437,Point(123.0 12.0)
Loki,bkt,Democratic Republic of the Congo,COD,6b Threatened,,,0.457,86790567,Point(23.656 -2.88)
Buhid,bku,Philippines,PHL,5 Developing,,,0.699,100981437,Point(123.0 12.0)
Bekwarra,bkv,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Bekwil,bkw,Republic of the Congo,COG,6a Vigorous,,,0.606,5260750,Point(15.383330555 -0.75)
Bekwil,bkw,Gabon,GAB,6a Vigorous,,,0.702,2025137,Point(11.5 -0.683330555)
Bekwil,bkw,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Baikeno,bkx,East Timor,TLS,6a Vigorous,,,0.625,1296311,Point(125.75 -8.966667)
Boki,bky,Cameroon,CMR,6a Vigorous,,,0.556,24053727,Point(12.0 7.0)
Boki,bky,Nigeria,NGA,6a Vigorous,,,0.532,190886311,Point(8.0 9.0)
Bungku,bkz,Indonesia,IDN,6a Vigorous,,,0.694,270625568,Point(118.0 -2.0)
Blackfoot,bla,Canada,CAN,7 Shifting,5000,Point(-112.666666667 50.0),0.926,37894799,Point(-109.0 56.0)
Blackfoot,bla,United States of America,USA,7 Shifting,5000,Point(-112.666666667 50.0),0.92,331449281,Point(-98.5795 39.828175)
Bilua,blb,Solomon Islands,SLB,5 Developing,,Point(156.666666667 -7.75),0.546,611343,Point(159.816666666 -9.466666666)
Nuxálk,blc,Canada,CAN,8b Nearly Extinct,,Point(-126.666666667 52.5),0.926,37894799,Point(-109.0 56.0)
Bolango,bld,Indonesia,IDN,6b Threatened,23000,,0.694,270625568,Point(118.0 -2.0)
Balanta-Kentohe,ble,Guinea-Bissau,GNB,5 Developing,,Point(-15.333333333 12.25),0.455,1861283,Point(-15.0 12.0)
Buol,blf,Indonesia,IDN,6b Threatened,,,0.694,270625568,Point(118.0 -2.0)
Balau,blg,Malaysia,MYS,6b Threatened,,,0.802,31624264,Point(108.0 3.0)
Kuwaa,blh,Liberia,LBR,5 Developing,,,0.435,4731906,Point(-9.75 6.533333)
Ntomba-Bolia,bli,Democratic Republic of the Congo,COD,6a Vigorous,,Point(18.333333333 -1.25),0.457,86790567,Point(23.656 -2.88)
