ISO,WALS_ID,Name,Macroarea,Latitude,Longitude,Family,Subfamily,Genus,Country_ID,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A,Status_X_L,Lenguaje de Señas,wiki_country,countryISO,Status,num_speakers,HDI,country_population,Country_coord
cje,crh,Chru,Eurasia,11.5,108.5,Austronesian,,Malayo-Sumbawan,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Vietnam,VNM,6b Threatened,,0.694,94660000.0,Point(108.0 16.0)
crh,cri,Crimean Tatar,Eurasia,45.0,34.0833333333,Altaic,,Turkic,UZ,2.0,,2.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,L,0,"['Turkey', 'Russia', 'Ukraine', 'Romania', 'Bulgaria']","['TUR', 'RUS', 'UKR', 'ROU', 'BGR']",5 Developing,552740.0,"[0.82, 0.816, 0.747, 0.793, 0.782]","[83614362.0, 146804372.0, 42558328.0, 19586539.0, 7000039.0]","['Point(36.0 39.0)', 'Point(94.25 66.416666666)', 'Point(32.0 49.0)', 'Point(25.0 46.0)', 'Point(25.5 42.75)']"
cbd,crj,Carijona,South America,1.0,-73.0,Cariban,,Cariban,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,L,0,Colombia,COL,8b Nearly Extinct,,0.747,49065615.0,Point(-74.0 4.0)
cbd,guq,Guaque,South America,1.0,-72.0833333333,Cariban,,Cariban,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,L,0,Colombia,COL,8b Nearly Extinct,,0.747,49065615.0,Point(-74.0 4.0)
cbd,hia,Hianacoto,South America,0.833333333333,-71.0,Cariban,,Cariban,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,L,0,Colombia,COL,8b Nearly Extinct,,0.747,49065615.0,Point(-74.0 4.0)
cbd,umu,Umaua,South America,1.0,-72.0,Cariban,,Cariban,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,L,0,Colombia,COL,8b Nearly Extinct,,0.747,49065615.0,Point(-74.0 4.0)
mus,crk,Creek,North America,34.0,-85.0,Muskogean,,Muskogean,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,United States of America,USA,7 Shifting,4300.0,0.92,331449281.0,Point(-98.5795 39.828175)
mus,smn,Seminole,North America,33.0,-84.0,Muskogean,,Muskogean,US,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,6.0,,,1.0,,2.0,,,,L,0,United States of America,USA,7 Shifting,4300.0,0.92,331449281.0,Point(-98.5795 39.828175)
cal,crl,Carolinian,Papunesia,15.2,145.75,Austronesian,Eastern Malayo-Polynesian,Oceanic,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,United States of America,USA,4 Educational,5700.0,0.92,331449281.0,Point(-98.5795 39.828175)
cor,crn,Cornish,Eurasia,50.3333333333,-5.0,Indo-European,,Celtic,GB,,2.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,5.0,,,,,,,,,,,,,,,,,7.0,,1.0,6.0,4.0,,6.0,8.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,1.0,4.0,,,,,,,,,2.0,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,4.0,4.0,4.0,,,,L,0,United Kingdom,GBR,9 Reawakening,"[0.0, 600.0]",0.922,66022273.0,Point(-2.0 54.6)
cro,cro,Crow,North America,47.0,-108.0,Siouan,,Core Siouan,US,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,2.0,2.0,2.0,,,,,,,,,2.0,,2.0,,,,2.0,,,,L,0,United States of America,USA,6b Threatened,3000.0,0.92,331449281.0,Point(-98.5795 39.828175)
cbc,crp,Carapana,South America,0.833333333333,-70.75,Tucanoan,,Tucanoan,CO BR,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,6.0,,4.0,,,,,,,L,0,"['Brazil', 'Colombia']","['BRA', 'COL']",5 Developing,,"[0.754, 0.747]","[210147125.0, 49065615.0]","['Point(-53.0 -14.0)', 'Point(-74.0 4.0)']"
crx,crq,Carrier,North America,53.75,-123.5,Na-Dene,,Athapaskan,CA,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Canada,CAN,7 Shifting,,0.926,37894799.0,Point(-109.0 56.0)
cso,csc,Chinantec (Sochiapan),North America,17.75,-96.6666666667,Oto-Manguean,,Chinantecan,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,L,0,Mexico,MEX,5 Developing,,0.756,124777324.0,Point(-102.0 23.0)
cuc,csf,Chinantec (San Felipe Usila),North America,17.9166666667,-96.5,Oto-Manguean,,Chinantecan,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Mexico,MEX,6a Vigorous,,0.756,124777324.0,Point(-102.0 23.0)
cbs,csh,Cashinahua,South America,-10.5,-71.8333333333,Panoan,,Panoan,BR PE,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Brazil', 'Peru']","['BRA', 'PER']",5 Developing,,"[0.754, 0.75]","[210147125.0, 29381884.0]","['Point(-53.0 -14.0)', 'Point(-76.0 -9.4)']"
csk,csk,Diola-Kasa,Africa,12.5,-16.75,Niger-Congo,Atlantic,Bak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Senegal,SEN,5 Developing,,0.505,15850567.0,Point(-14.283333 14.366667)
csl,csl,Chinese Sign Language,Eurasia,35.0,115.0,other,,Sign Languages,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,1,People's Republic of China,CHN,5 Developing,,0.752,"[1409517397.0, 1443497378.0]",Point(103.451944444 35.844722222)
ctp,cso,Chatino (Sierra Occidental),North America,16.25,-97.3333333333,Oto-Manguean,,Zapotecan,MX,,,,,,,,,,,,,,,,,2.0,,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,9.0,,,,1.0,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,3.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,2.0,2.0,1.0,1.0,4.0,4.0,4.0,,,,L,0,Mexico,MEX,5 Developing,,0.756,124777324.0,Point(-102.0 23.0)
ctp,cya,Chatino (Yaitepec),North America,16.25,-97.25,Oto-Manguean,,Zapotecan,MX,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,6.0,4.0,,7.0,8.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,3.0,,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,4.0,4.0,4.0,,,,L,0,Mexico,MEX,5 Developing,,0.756,124777324.0,Point(-102.0 23.0)
cnt,cte,Chinantec (Tepetotutla),North America,17.8333333333,-96.5,Oto-Manguean,,Chinantecan,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Mexico,MEX,6a Vigorous,,0.756,124777324.0,Point(-102.0 23.0)
ctd,cti,Chin (Tiddim),Eurasia,23.3333333333,93.6666666667,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,MM,,6.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,2.0,,,,4.0,1.0,4.0,21.0,4.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,6.0,,,,2.0,,,,9.0,,,,5.0,5.0,,,3.0,,,,,,,,,,,4.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,5.0,1.0,,,,,,,,,,,,4.0,,,,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,2.0,,,,7.0,,,,,,2.0,2.0,1.0,,2.0,,,,L,0,"['Myanmar', 'India']","['MMR', 'IND']",5 Developing,,"[0.578, 0.64]","[53370609.0, 1326093247.0]","['Point(96.0 22.0)', 'Point(83.0 22.8)']"
cat,ctl,Catalan,Eurasia,41.75,2.0,Indo-European,,Romance,ES,,2.0,,,,,,,,,,,,,,,2.0,,,1.0,6.0,,,,1.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,,1.0,,,,15.0,,1.0,,1.0,1.0,4.0,19.0,3.0,,15.0,,,4.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,1.0,3.0,6.0,5.0,1.0,1.0,3.0,,,,,,,,,,3.0,,,3.0,,,,,,,,,2.0,,,3.0,,,,,,,,2.0,,1.0,4.0,3.0,,1.0,7.0,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,3.0,4.0,,2.0,1.0,2.0,,,,,1.0,,2.0,,3.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,,6.0,,,4.0,4.0,4.0,,,,L,0,Spain,ESP,2 Provincial,"[4079420.0, 5100000.0]",0.876,46733038.0,Point(-3.5 40.2)
ctm,ctm,Chitimacha,North America,29.6666666667,-91.0,,,,US,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,6.0,,,,4.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,2.0,2.0,,,,,,,,2.0,3.0,4.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,2.0,4.0,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,,2.0,,1.0,,1.0,,,,,2.0,2.0,,2.0,1.0,2.0,2.0,,,,L,0,United States of America,USA,9 Dormant,,0.92,331449281.0,Point(-98.5795 39.828175)
cta,ctt,Chatino (Tataltepec),North America,16.1666666667,-97.5833333333,Oto-Manguean,,Zapotecan,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Mexico,MEX,6b Threatened,,0.756,124777324.0,Point(-102.0 23.0)
chc,ctw,Catawba,North America,35.5,-80.5,Siouan,,Catawban,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,L,0,United States of America,USA,9 Reawakening,,0.92,331449281.0,Point(-98.5795 39.828175)
cua,cua,Cua,Eurasia,15.25,108.5,Austro-Asiatic,Mon-Khmer,Bahnaric,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,L,0,Vietnam,VNM,6b Threatened,,0.694,94660000.0,Point(108.0 16.0)
cub,cub,Cubeo,South America,1.33333333333,-70.5,Tucanoan,,Tucanoan,CO,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,4.0,,,,4.0,2.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,1.0,,2.0,1.0,2.0,3.0,,,2.0,2.0,,2.0,,1.0,,,,,,4.0,,,,4.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,5.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,3.0,6.0,1.0,,1.0,2.0,1.0,,,,L,0,"['Brazil', 'Colombia']","['BRA', 'COL']",3 Wider Communication,,"[0.754, 0.747]","[210147125.0, 49065615.0]","['Point(-53.0 -14.0)', 'Point(-74.0 4.0)']"
cui,cui,Cuiba,South America,6.5,-70.0,Guahiban,,Guahiban,CO,,,,,,,,,,,,,,,,2.0,6.0,3.0,6.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,14.0,2.0,,,1.0,2.0,4.0,18.0,1.0,,,,,,,,,,16.0,,3.0,,3.0,4.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,3.0,L,0,"['Venezuela', 'Colombia']","['VEN', 'COL']",5 Developing,,"[0.761, 0.747]","[28515829.0, 49065615.0]","['Point(-67.0 8.0)', 'Point(-74.0 4.0)']"
cul,cul,Culina,South America,-6.0,-70.5,Arauan,,Arauan,BR PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Brazil', 'Peru']","['BRA', 'PER']",6b Threatened,,"[0.754, 0.75]","[210147125.0, 29381884.0]","['Point(-53.0 -14.0)', 'Point(-76.0 -9.4)']"
ncu,cum,Chumburung,Africa,7.75,0.25,Niger-Congo,,Kwa,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Ghana,GHA,5 Developing,,0.592,26908262.0,Point(-0.5 8.0)
cup,cup,Cupeño,North America,33.1666666667,-116.5,Uto-Aztecan,,California Uto-Aztecan,US,,6.0,,,,,4.0,,,,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,4.0,4.0,16.0,,,,,,,,,,,15.0,4.0,,,1.0,1.0,8.0,11.0,,,,,,,2.0,8.0,1.0,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,5.0,5.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,6.0,2.0,,1.0,,2.0,,,,L,0,United States of America,USA,9 Dormant,,0.92,331449281.0,Point(-98.5795 39.828175)
kpc,cur,Curripaco,South America,2.5,-68.5,Arawakan,,Inland Northern Arawakan,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,"['Brazil', 'Venezuela', 'Colombia']","['BRA', 'VEN', 'COL']",5 Developing,,"[0.754, 0.761, 0.747]","[210147125.0, 28515829.0, 49065615.0]","['Point(-53.0 -14.0)', 'Point(-67.0 8.0)', 'Point(-74.0 4.0)']"
cuy,cut,Cuitlatec,North America,17.5,-101.0,,,,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,Mexico,MEX,10 Extinct,,0.756,124777324.0,Point(-102.0 23.0)
chk,cuu,Chuukese,Papunesia,7.33333333333,151.75,Austronesian,Eastern Malayo-Polynesian,Oceanic,FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Federated States of Micronesia,FSM,2 Provincial,,0.627,105544.0,Point(158.183333333 6.916666666)
cbk,cvc,Chavacano,Papunesia,7.0,122.083333333,other,,Creoles and Pidgins,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,Philippines,PHL,4 Educational,"[300000.0, 431000.0]",0.699,100981437.0,Point(123.0 12.0)
cjv,cve,Chuave,Papunesia,-6.11666666667,145.116666667,Trans-New Guinea,,Chimbu,PG,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,L,0,Papua New Guinea,PNG,5 Developing,,0.555,8935000.0,Point(147.0 -6.3)
col,cwe,Columbia-Wenatchi,North America,47.5,-120.0,Salishan,,Interior Salish,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,0,United States of America,USA,8b Nearly Extinct,,0.92,331449281.0,Point(-98.5795 39.828175)
