,ISO,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
1032,ktg,Australia,-21.0,139.5,1.0,AUS,0,24511800.0,Point(137.0 -28.0),1
1033,kgy,Eurasia,28.4166666667,85.3333333333,0.0,"['CHN', 'NPL']",600,"[1409517397.0, 1443497378.0, 30327877.0]","['Point(103.451944444 35.844722222)', 'Point(84.0 28.0)']",2
1034,khk,Eurasia,47.0,105.0,0.0,"['RUS', 'MNG']",2704030,"[146804372.0, 3075647.0]","['Point(94.25 66.416666666)', 'Point(104.0 47.0)']",2
1035,khg,Eurasia,31.8333333333,98.5833333333,0.0,"['CHN', 'MMR']",1500000,"[1409517397.0, 1443497378.0, 53370609.0]","['Point(103.451944444 35.844722222)', 'Point(96.0 22.0)']",2
1036,khg,Eurasia,32.5,96.5,0.0,"['CHN', 'MMR']",1500000,"[1409517397.0, 1443497378.0, 53370609.0]","['Point(103.451944444 35.844722222)', 'Point(96.0 22.0)']",2
1037,klr,Eurasia,27.5,86.6666666667,0.0,NPL,15670,30327877.0,Point(84.0 28.0),1
1038,kjj,Eurasia,41.1666666667,48.0833333333,0.0,AZE,1000,10127874.0,Point(47.7 40.3),1
1039,kjh,Eurasia,53.0,90.0,0.0,RUS,42604,146804372.0,Point(94.25 66.416666666),1
1040,klj,Eurasia,35.0,50.0,0.0,IRN,53900,79966230.0,Point(53.0 32.0),1
1041,khm,Eurasia,12.5,105.0,0.0,"['KHM', 'VNM']","[1000000.0, 14224500.0, 16388040.0]","[16005373.0, 94660000.0]","['Point(105.0 12.6)', 'Point(108.0 16.0)']",2
1042,kkh,Eurasia,21.0,100.0,0.0,MMR,120000,53370609.0,Point(96.0 22.0),1
1043,naq,Africa,-25.5,18.0,0.0,"['ZAF', 'BWA', 'NAM']",250000,"[59622350.0, 2291661.0, 2533794.0]","['Point(24.0 -29.0)', 'Point(23.7 -22.2)', 'Point(17.0 -23.0)']",3
1044,khr,Eurasia,22.5,84.3333333333,0.0,IND,298256,1326093247.0,Point(83.0 22.8),1
1045,kha,Eurasia,25.5,92.0,0.0,"['IND', 'BGD']","[843000.0, 865000.0]","[1326093247.0, 165775000.0]","['Point(83.0 22.8)', 'Point(89.866667 24.016667)']",2
1046,cnk,Eurasia,21.9166666667,92.4166666667,0.0,"['MMR', 'BGD', 'IND']",64000,"[53370609.0, 165775000.0, 1326093247.0]","['Point(96.0 22.0)', 'Point(89.866667 24.016667)', 'Point(83.0 22.8)']",3
1047,khv,Eurasia,42.25,46.1666666667,0.0,RUS,1740,146804372.0,Point(94.25 66.416666666),1
1048,khw,Eurasia,36.0,72.0,0.0,PAK,1000000,216565318.0,Point(71.0 30.0),1
1049,kic,North America,42.25,-84.0,0.0,"['USA', 'MEX']",520,"[331449281.0, 124777324.0]","['Point(-98.5795 39.828175)', 'Point(-102.0 23.0)']",2
1050,geb,Papunesia,-4.25,144.75,0.0,PNG,2500,8935000.0,Point(147.0 -6.3),1
1051,gia,Australia,-17.5,127.75,0.0,AUS,169,24511800.0,Point(137.0 -28.0),1
1052,kik,Africa,-0.75,36.75,0.0,KEN,6623000,48468138.0,Point(38.0 0.1),1
1053,lub,Africa,-8.0,26.0,0.0,COD,1510000,86790567.0,Point(23.656 -2.88),1
1054,kig,Papunesia,-8.0,138.5,0.0,IDN,3000,270625568.0,Point(118.0 -2.0),1
1055,kin,Africa,-2.0,30.0,0.0,"['COD', 'UGA', 'RWA']",9800000,"[86790567.0, 42862958.0, 12208407.0]","['Point(23.656 -2.88)', 'Point(32.39 1.28)', 'Point(29.873888888 -1.940277777)']",3
1056,kio,North America,37.0,-99.0,0.0,USA,400,331449281.0,Point(-98.5795 39.828175),1
1057,xal,Eurasia,42.4166666667,78.3333333333,0.0,"['RUS', 'CHN', 'MNG']","[431800.0, 560000.0]","[146804372.0, 1409517397.0, 1443497378.0, 3075647.0]","['Point(94.25 66.416666666)', 'Point(103.451944444 35.844722222)', 'Point(104.0 47.0)']",3
1058,xal,Eurasia,44.0,83.0,0.0,"['RUS', 'CHN', 'MNG']","[431800.0, 560000.0]","[146804372.0, 1409517397.0, 1443497378.0, 3075647.0]","['Point(94.25 66.416666666)', 'Point(103.451944444 35.844722222)', 'Point(104.0 47.0)']",3
1059,xal,Eurasia,37.5,93.0,0.0,"['RUS', 'CHN', 'MNG']","[431800.0, 560000.0]","[146804372.0, 1409517397.0, 1443497378.0, 3075647.0]","['Point(94.25 66.416666666)', 'Point(103.451944444 35.844722222)', 'Point(104.0 47.0)']",3
1060,cme,Africa,10.25,-4.83333333333,0.0,"['BFA', 'CIV']",53600,"[19193382.0, 24294750.0]","['Point(-2.066667 12.266667)', 'Point(-6.0 8.0)']",2
1061,kii,North America,31.8333333333,-96.5,0.0,USA,0,331449281.0,Point(-98.5795 39.828175),1
1062,kvd,Papunesia,-8.43333333333,124.55,0.0,IDN,1900,270625568.0,Point(118.0 -2.0),1
1063,kjd,Papunesia,-8.0,143.5,0.0,PNG,20000,8935000.0,Point(147.0 -6.3),1
1064,coe,South America,1.0,-75.5,0.0,COL,2100,49065615.0,Point(-74.0 4.0),1
1065,kmr,Eurasia,38.0,42.0,0.0,"['TUR', 'AZE', 'ARM', 'IRN', 'IRQ', 'SYR']",15000000,"[83614362.0, 10127874.0, 2930450.0, 79966230.0, 38274618.0, 18499181.0]","['Point(36.0 39.0)', 'Point(47.7 40.3)', 'Point(44.95 40.383333)', 'Point(53.0 32.0)', 'Point(43.0 33.0)', 'Point(38.583333 35.216667)']",6
1066,kjn,Australia,-16.5,142.5,0.0,AUS,7,24511800.0,Point(137.0 -28.0),1
1067,kjc,Papunesia,-5.46666666667,120.333333333,0.0,IDN,167000,270625568.0,Point(118.0 -2.0),1
1068,kqy,Africa,5.83333333333,37.8333333333,0.0,ETH,159200,104957438.0,Point(40.0 9.0),1
1069,xon,Africa,10.0,0.0833333333333,0.0,"['GHA', 'TGO']",915700,"[26908262.0, 7797694.0]","['Point(-0.5 8.0)', 'Point(1.183333 8.25)']",2
1070,bqy,Papunesia,-8.25,115.166666667,0.0,IDN,1125,270625568.0,Point(118.0 -2.0),1
1071,knn,Eurasia,15.25,74.0,0.0,IND,2195750,1326093247.0,Point(83.0 22.8),1
1072,knk,Africa,9.33333333333,-11.25,0.0,"['GIN', 'SLE']",594000,"[12717176.0, 7557212.0]","['Point(-11.0 10.0)', 'Point(-12.1 8.5)']",2
1073,kaa,Eurasia,43.0,60.0,0.0,UZB,583410,33570609.0,Point(66.0 41.0),1
1074,kui,South America,-12.4166666667,-53.0833333333,0.0,BRA,1110,210147125.0,Point(-53.0 -14.0),1
1075,kiy,Papunesia,-3.0,137.166666667,0.0,IDN,250,270625568.0,Point(118.0 -2.0),1
1076,kkk,Papunesia,-8.0,159.133333333,0.0,SLB,530,611343.0,Point(159.816666666 -9.466666666),1
1077,kfq,Eurasia,22.5,78.5,0.0,IND,727000,1326093247.0,Point(83.0 22.8),1
1078,khl,Papunesia,-5.58333333333,149.666666667,0.0,PNG,2130,8935000.0,Point(147.0 -6.3),1
1079,zkk,North America,28.0,-97.0,,USA,,331449281.0,Point(-98.5795 39.828175),1
1080,kne,Papunesia,16.75,120.583333333,0.0,PHL,167000,100981437.0,Point(123.0 12.0),1
1081,kex,Eurasia,20.75,73.5,0.0,IND,517000,1326093247.0,Point(83.0 22.8),1
1082,klu,Africa,4.75,-8.75,0.0,LBR,400000,4731906.0,Point(-9.75 6.533333),1
1083,hbb,Africa,10.3333333333,13.1666666667,0.0,NGA,337000,190886311.0,Point(8.0 9.0),1
1084,kle,Eurasia,27.5,87.0,0.0,"['IND', 'NPL']",34590,"[1326093247.0, 30327877.0]","['Point(83.0 22.8)', 'Point(84.0 28.0)']",2
