,ISO,Name,Macroarea,Latitude_lang,Longitude_lang,Status_X_L,Status,num_speakers,cant_paises,Native_country,country_ISO,Latitude_country,Longitude_country,Coord_country_point,country_population,Family,Genus,WALS_ID,HDI,Nearest_languages
336,boa,Bora,South America,-2.16666666667,-72.3333333333,0.0,7 Shifting,1350.0,2,CO PE,"['PER', 'COL']","[-9.4, 4.0]","[-76.0, -74.0]","['Point(-76.0 -9.4)', 'Point(-74.0 4.0)']","[29381884.0, 49065615.0]",Huitotoan,Boran,bor,"[0.75, 0.747]",179
337,bos,Bosnian,Eurasia,43.0,18.0,0.0,1 National,3500000.0,4,BA,"['TUR', 'HRV', 'BIH', 'MNE']","[39.0, 45.25, 44.0, 42.766667]","[36.0, 15.466667, 18.0, 19.216667]","['Point(36.0 39.0)', 'Point(15.466667 45.25)', 'Point(18.0 44.0)', 'Point(19.216667 42.766667)']","[83614362.0, 4105493.0, 3507017.0, 622359.0]",Indo-European,Slavic,bos,"[0.82, 0.831, 0.733, 0.802]",444
338,oua,Berber (Wargla),Africa,31.9166666667,5.33333333333,0.0,6b Threatened,20000.0,1,DZ,DZA,[28.0],[1.0],Point(1.0 28.0),41318142.0,Afro-Asiatic,Berber,bou,0.754,89
339,boz,Bozo (Tigemaxo),Africa,15.0,-4.0,0.0,5 Developing,118000.0,1,ML,MLI,[17.0],[-4.0],Point(-4.0 17.0),18541980.0,Mande,Western Mande,boz,0.427,83
340,bwr,Bura-Pabir,Africa,10.5,12.25,0.0,6b Threatened,482000.0,1,NG,NGA,[9.0],[8.0],Point(8.0 9.0),190886311.0,Afro-Asiatic,Biu-Mandara,bpa,0.532,234
341,bdq,Bahnar,Eurasia,13.8333333333,108.333333333,0.0,5 Developing,228000.0,1,VN,VNM,[16.0],[108.0],Point(108.0 16.0),94660000.0,Austro-Asiatic,Bahnaric,bpb,0.694,51
342,eus,Basque (Bidasoa Valley),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqb,"[0.876, 0.888]",104
343,eus,Basque (Gernica),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqg,"[0.876, 0.888]",104
344,eus,Basque (Hondarribia),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqh,"[0.876, 0.888]",104
345,eus,Basque (Basaburua and Imoz),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqi,"[0.876, 0.888]",104
346,eus,Basque (Lekeitio),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bql,"[0.876, 0.888]",104
