country,countryLabel,language,languageLabel,ISO,countryISO
http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q150,French,fra,GIN
http://www.wikidata.org/entity/Q1007,Guinea-Bissau,http://www.wikidata.org/entity/Q5146,Portuguese,por,GNB
http://www.wikidata.org/entity/Q1008,Ivory Coast,http://www.wikidata.org/entity/Q150,French,fra,CIV
http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q150,French,fra,CMR
http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q1860,English,eng,CMR
http://www.wikidata.org/entity/Q1011,Cape Verde,http://www.wikidata.org/entity/Q5146,Portuguese,por,CPV
http://www.wikidata.org/entity/Q1011,Cape Verde,http://www.wikidata.org/entity/Q35963,Cape Verdean Creole,kea,CPV
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q1860,English,eng,LSO
http://www.wikidata.org/entity/Q1013,Lesotho,http://www.wikidata.org/entity/Q34340,Sesotho,sot,LSO
http://www.wikidata.org/entity/Q1014,Liberia,http://www.wikidata.org/entity/Q1860,English,eng,LBR
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q13955,Arabic,ara,LBY
http://www.wikidata.org/entity/Q1016,Libya,http://www.wikidata.org/entity/Q56467,Modern Standard Arabic,arb,LBY
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q150,French,fra,MDG
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q7930,Malagasy,mlg,MDG
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q1860,English,eng,MWI
http://www.wikidata.org/entity/Q1020,Malawi,http://www.wikidata.org/entity/Q33273,Chewa,nya,MWI
http://www.wikidata.org/entity/Q1025,Mauritania,http://www.wikidata.org/entity/Q13955,Arabic,ara,MRT
http://www.wikidata.org/entity/Q1027,Mauritius,http://www.wikidata.org/entity/Q150,French,fra,MUS
http://www.wikidata.org/entity/Q1027,Mauritius,http://www.wikidata.org/entity/Q1860,English,eng,MUS
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q13955,Arabic,ara,MAR
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q7598268,Standard Moroccan Berber,zgh,MAR
http://www.wikidata.org/entity/Q1029,Mozambique,http://www.wikidata.org/entity/Q5146,Portuguese,por,MOZ
http://www.wikidata.org/entity/Q1030,Namibia,http://www.wikidata.org/entity/Q1860,English,eng,NAM
http://www.wikidata.org/entity/Q1032,Niger,http://www.wikidata.org/entity/Q150,French,fra,NER
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q1860,English,eng,NGA
http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q34311,Yoruba,yor,NGA
http://www.wikidata.org/entity/Q1036,Uganda,http://www.wikidata.org/entity/Q1860,English,eng,UGA
http://www.wikidata.org/entity/Q1036,Uganda,http://www.wikidata.org/entity/Q7838,Swahili,swa,UGA
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q150,French,fra,RWA
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q1860,English,eng,RWA
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q7838,Swahili,swa,RWA
http://www.wikidata.org/entity/Q1037,Rwanda,http://www.wikidata.org/entity/Q33573,Kinyarwanda,kin,RWA
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,http://www.wikidata.org/entity/Q5146,Portuguese,por,STP
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q150,French,fra,SEN
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q34257,Wolof,wol,SEN
http://www.wikidata.org/entity/Q1041,Senegal,http://www.wikidata.org/entity/Q35095,Badyara,pbp,SEN
http://www.wikidata.org/entity/Q1042,Seychelles,http://www.wikidata.org/entity/Q150,French,fra,SYC
http://www.wikidata.org/entity/Q1042,Seychelles,http://www.wikidata.org/entity/Q1860,English,eng,SYC
http://www.wikidata.org/entity/Q1042,Seychelles,http://www.wikidata.org/entity/Q34015,Seychellois Creole,crs,SYC
http://www.wikidata.org/entity/Q1044,Sierra Leone,http://www.wikidata.org/entity/Q1860,English,eng,SLE
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q13275,Somali,som,SOM
