,ISO,WALS_ID,Name,Macroarea,Native_country,Latitude_lang,Longitude_lang,Family,Genus,Country_name,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest,Status_binario,official_in
2311,ump,ump,Umpila,Australia,AU,-13.5,143.5,Pama-Nyungan,Northern Pama-Nyungan,Australia,AUS,8b Nearly Extinct,12.0,0.939,24511800.0,POINT (137 -28),1,137.0,-28.0,288.0,0.0,
2312,mtg,una,Una,Papunesia,ID,-4.66666666667,140.0,Trans-New Guinea,Mek,Indonesia,IDN,4 Educational,5600.0,0.694,270625568.0,POINT (118 -2),1,118.0,-2.0,353.0,1.0,
2313,ung,ung,Ungarinjin,Australia,AU,-16.3333333333,126.0,Worrorran,Worrorran,Australia,AUS,7 Shifting,,0.939,24511800.0,POINT (137 -28),1,137.0,-28.0,116.0,0.0,
2314,unm,unm,Unami,North America,US,40.0,-75.1666666667,Algic,Algonquian,United States of America,USA,9 Reawakening,0.0,0.92,331449281.0,POINT (-98.5795 39.828175),1,-98.5795,39.828175,26.0,0.0,
2315,uur,ura,Ura,Papunesia,VU,-18.6666666667,169.083333333,Austronesian,Oceanic,Vanuatu,VUT,8b Nearly Extinct,6.0,0.603,276244.0,POINT (168.016669444 -16.633330555),1,168.016669444,-16.633330555,66.0,0.0,
2316,urd,urd,Urdu,Eurasia,PK,25.0,67.0,Indo-European,Indic,"['Canada', 'Norway', 'United States of America', 'United Kingdom', 'India', 'Fiji', 'Pakistan']","['CAN', 'NOR', 'USA', 'GBR', 'IND', 'FJI', 'PAK']",1 National,94022900.0,"[0.926, 0.957, 0.92, 0.922, 0.64, 0.741, 0.562]","[37894799.0, 5391369.0, 331449281.0, 66022273.0, 1326093247.0, 905502.0, 216565318.0]","[<shapely.geometry.point.Point object at 0x7f53a2baff10>, <shapely.geometry.point.Point object at 0x7f53a2baf310>, <shapely.geometry.point.Point object at 0x7f53a2baf070>, <shapely.geometry.point.Point object at 0x7f53a2baffd0>, <shapely.geometry.point.Point object at 0x7f53a2baf250>, <shapely.geometry.point.Point object at 0x7f53a2baf130>, <shapely.geometry.point.Point object at 0x7f53a2baf220>]",7,"[-109.0, 11.0, -98.5795, -2.0, 83.0, 178.0, 71.0]","[56.0, 65.0, 39.828175, 54.6, 22.8, -18.0, 30.0]",45.0,1.0,['PAK']
2317,urh,urh,Urhobo,Africa,NG,5.58333333333,6.0,Niger-Congo,Edoid,Nigeria,NGA,5 Developing,1050000.0,0.532,190886311.0,POINT (8 9),1,8.0,9.0,194.0,1.0,
2318,uri,uri,Urim,Papunesia,PG,-3.58333333333,142.666666667,Torricelli,Urim,Papua New Guinea,PNG,5 Developing,4000.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,323.0,1.0,
2319,urb,urk,Urubú-Kaapor,South America,BR,-2.33333333333,-46.5,Tupian,Tupi-Guaraní,Brazil,BRA,5 Developing,,0.754,210147125.0,POINT (-53 -14),1,-53.0,-14.0,19.0,1.0,
2320,urk,url,Urak Lawoi',Eurasia,TH,8.0,98.3333333333,Austronesian,Malayo-Sumbawan,Thailand,THA,7 Shifting,5000.0,0.755,65931550.0,POINT (101 14),1,101.0,14.0,72.0,0.0,
