country,countryLabel,point_cn,countryISO
http://www.wikidata.org/entity/Q709,Marshall Islands,Point(171.066666666 7.116666666),MHL
http://www.wikidata.org/entity/Q710,Kiribati,Point(173.033333333 1.466666666),KIR
http://www.wikidata.org/entity/Q711,Mongolia,Point(104.0 47.0),MNG
http://www.wikidata.org/entity/Q712,Fiji,Point(178.0 -18.0),FJI
http://www.wikidata.org/entity/Q717,Venezuela,Point(-67.0 8.0),VEN
http://www.wikidata.org/entity/Q730,Suriname,Point(-56.0 4.0),SUR
http://www.wikidata.org/entity/Q733,Paraguay,Point(-58.0 -23.5),PRY
http://www.wikidata.org/entity/Q734,Guyana,Point(-59.316667 5.733333),GUY
http://www.wikidata.org/entity/Q736,Ecuador,Point(-78.0 -1.0),ECU
http://www.wikidata.org/entity/Q739,Colombia,Point(-74.0 4.0),COL
http://www.wikidata.org/entity/Q750,Bolivia,Point(-64.991228611 -17.056869611),BOL
http://www.wikidata.org/entity/Q754,Trinidad and Tobago,Point(-61.516666666 10.666666666),TTO
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,Point(-61.233333333 13.166666666),VCT
http://www.wikidata.org/entity/Q760,Saint Lucia,Point(-61.0 13.883333),LCA
http://www.wikidata.org/entity/Q763,Saint Kitts and Nevis,Point(-62.666667 17.33),KNA
http://www.wikidata.org/entity/Q766,Jamaica,Point(-77.4 18.18),JAM
http://www.wikidata.org/entity/Q769,Grenada,Point(-61.666667 12.116667),GRD
http://www.wikidata.org/entity/Q774,Guatemala,Point(-90.25 15.5),GTM
http://www.wikidata.org/entity/Q778,The Bahamas,Point(-76.4 23.7),BHS
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,Point(-61.85 17.116666666),ATG
http://www.wikidata.org/entity/Q783,Honduras,Point(-86.816667 14.633333),HND
http://www.wikidata.org/entity/Q784,Dominica,Point(-61.333333 15.416667),DMA
http://www.wikidata.org/entity/Q785,Jersey,Point(-2.11 49.19),JEY
http://www.wikidata.org/entity/Q786,Dominican Republic,Point(-70.2 18.8),DOM
http://www.wikidata.org/entity/Q790,Haiti,Point(-72.8 19.0),HTI
http://www.wikidata.org/entity/Q792,El Salvador,Point(-88.866111 13.668889),SLV
http://www.wikidata.org/entity/Q794,Iran,Point(53.0 32.0),IRN
http://www.wikidata.org/entity/Q796,Iraq,Point(43.0 33.0),IRQ
http://www.wikidata.org/entity/Q800,Costa Rica,Point(-84.0 10.0),CRI
http://www.wikidata.org/entity/Q801,Israel,Point(35.0 31.0),ISR
http://www.wikidata.org/entity/Q804,Panama,Point(-80.366667 8.616667),PAN
http://www.wikidata.org/entity/Q805,Yemen,Point(48.0 15.5),YEM
http://www.wikidata.org/entity/Q810,Jordan,Point(36.5 31.2),JOR
http://www.wikidata.org/entity/Q811,Nicaragua,Point(-85.0 13.0),NIC
http://www.wikidata.org/entity/Q813,Kyrgyzstan,Point(75.0 41.0),KGZ
http://www.wikidata.org/entity/Q817,Kuwait,Point(47.6 29.166667),KWT
http://www.wikidata.org/entity/Q819,Laos,Point(104.0 18.2),LAO
http://www.wikidata.org/entity/Q822,Lebanon,Point(35.766667 33.833333),LBN
